date                 dew_pnt  dry_bulb  elec_price         hour  ng_price           num_date           sys_load
2004-01-01 00:00:00  25       37        40.87              1     5.825              731947             12230
2004-01-01 00:00:00  25       37        38.97              2     5.825              731947.0416666666  11534
2004-01-01 00:00:00  24       39        35.93              3     5.825              731947.0833333334  11038
2004-01-01 00:00:00  22       38        34.79              4     5.825              731947.125         10777
2004-01-01 00:00:00  20       37        34.79              5     5.825              731947.1666666666  10764
2004-01-01 00:00:00  19       36        35.39              6     5.825              731947.2083333334  11032
2004-01-01 00:00:00  20       35        38.97              7     5.825              731947.25          11508
2004-01-01 00:00:00  20       35        40.76              8     5.825              731947.2916666666  11806
2004-01-01 00:00:00  21       35        42.11              9     5.825              731947.3333333334  12457
